,rank,exchangeId,exchangeName,exchangeSlug,volumePercent,volumeQuote,isVerified,marketUrl,effectiveLiquidity,lastUpdated,marketPair,price
361,362,955,Phemex,phemex,0.017276844781,5677003.3600783,1,https://phemex.com/spot/trade/BTCUSDT,473.0,2024-02-21T09:26:22.000Z,BTC/USDT,51462.75229701
362,363,1375,Binance TR,binance-tr,0.026868273824,8828653.7682508,1,https://www.trbinance.com/en/trade/BTC_USDT,470.0,2024-02-21T09:26:29.000Z,BTC/USDT,51467.64150298
369,370,125,Bitso,bitso,0.01491484415,83610050.3853052,1,https://bitso.com/trade/market/btc/mxn,427.0,2024-02-21T09:26:29.000Z,BTC/MXN,51474.31350694
374,375,653,BITEXLIVE,bitexlive,0.02580803016,8480268.0,1,https://bitexlive.com/exchange/USDT-BTC,436.0,2024-02-21T09:26:22.000Z,BTC/USDT,51455.91340766
382,383,351,Upbit,upbit,0.033497663365,214.08849516,1,https://upbit.com/exchange?code=CRIX.UPBIT.BTC-FIL,441.0,2024-02-21T09:26:22.000Z,FIL/BTC,51457.789506953224
383,384,406,BitMart,bitmart,0.013665557558,87.338589,1,https://www.bitmart.com/trade/en?symbol=ETH_BTC,331.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.7895310272
388,389,50,EXMO,exmo,0.014808344193,94.50193539,1,https://exmo.com/en/trade/ETH_BTC,401.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953099109
390,391,501,WhiteBIT,whitebit,0.128719216467,822.66345122,1,https://whitebit.com/trade/ETH_BTC,409.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.789531068476
391,392,7557,EXMO.ME,exmo-me,0.014786380822,94.50193539,1,https://exmo.me/en/trade/ETH_BTC,412.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.78953099109
407,408,351,Upbit,upbit,0.012451310488,79.57815732,1,https://upbit.com/exchange?code=CRIX.UPBIT.BTC-RLC,390.0,2024-02-21T09:26:29.000Z,RLC/BTC,51457.78955759267
410,411,351,Upbit,upbit,0.01038976432,66.40251244,1,https://upbit.com/exchange?code=CRIX.UPBIT.BTC-ENS,347.0,2024-02-21T09:26:29.000Z,ENS/BTC,51457.78952625247
466,467,1375,Binance TR,binance-tr,0.013401760527,136320315.53297,1,https://www.trbinance.com/en/trade/BTC_TRY,511.0,2024-02-21T09:26:29.000Z,BTC/TRY,52082.78833329
507,508,50,EXMO,exmo,0.032371815116,10634261.10173772,1,https://exmo.com/en/trade/BTC_USD,334.0,2024-02-21T09:26:22.000Z,BTC/USD,52184.34
565,566,225,Paribu,paribu,0.051722283971,526097367.46538997,1,https://www.paribu.com/markets/BTC_TRY?view=classic,335.0,2024-02-21T09:26:22.000Z,BTC/TRY,52132.7401733
719,720,127,BTCBOX,btcbox,0.052818322902,2604130881.9225,1,https://www.btcbox.co.jp/coin/btc/,328.0,2024-02-21T09:26:22.000Z,BTC/JPY,51685.77091557
960,961,215,P2B,p2b,0.015618180581,99.67004231,1,https://p2pb2b.com/trade/CFT_BTC,157.0,2024-02-21T09:26:22.000Z,CFT/BTC,51457.7895758517
990,991,50,EXMO,exmo,0.018035841056,227706428.63294548,1,https://exmo.com/en/trade/BTC_UAH,128.0,2024-02-21T09:26:22.000Z,BTC/UAH,57860.32076655
2353,2354,8125,OrangeX,orangex,4.347103107237,1428088149.09519,1,https://www.orangex.com/spot/BTC-USDT-SPOT,731.0,2024-02-21T09:26:29.000Z,BTC/USDT,51459.86676562
2354,2355,790,Pionex,pionex,1.732538646619,569295368.6372235,1,https://www.pionex.com/en/trade/BTC_USDT/Bot,606.0,2024-02-21T09:26:22.000Z,BTC/USDT,51456.72327614
2355,2356,433,Bitrue,bitrue,3.470640092901,1140156988.27,1,https://www.bitrue.com/trade/btc_usdt,679.0,2024-02-21T09:26:22.000Z,BTC/USDT,51471.74083724
2356,2357,1149,Crypto.com Exchange,crypto-com-exchange,1.226083537833,402772980.974625,1,https://crypto.com/exchange/trade/BTC_USD,658.0,2024-02-21T09:26:22.000Z,BTC/USD,51483.75
2357,2358,1149,Crypto.com Exchange,crypto-com-exchange,1.095589125002,359999943.441336,1,https://crypto.com/exchange/trade/BTC_USDT,649.0,2024-02-21T09:26:22.000Z,BTC/USDT,51470.92097039
2358,2359,37,Bitfinex,bitfinex,0.459260238649,150868688.51579407,1,https://trading.bitfinex.com/t/BTC:USD?type=exchange,578.0,2024-02-21T09:26:29.000Z,BTC/USD,51429.0
2359,2360,200,Bithumb,bithumb,0.563197133089,247022718298.843,1,https://www.bithumb.com/trade/order/BTC_KRW,616.0,2024-02-21T09:26:22.000Z,BTC/KRW,53668.30797832
2360,2361,7370,BitMake,bitmake,0.312583308938,102711838.7453,1,https://www.bitmake.com/en-US/trade/BTC_USDT,632.0,2024-02-21T09:26:29.000Z,BTC/USDT,51471.64085348
2361,2362,1289,WOO X,woox,0.134885130777,44321943.64,1,https://x.woo.org/,571.0,2024-02-21T09:26:29.000Z,BTC/USDT,51480.78936773
2362,2363,37,Bitfinex,bitfinex,0.095929014189,31514110.64752132,1,https://trading.bitfinex.com/t/BTC:USDT?type=exchange,576.0,2024-02-21T09:26:29.000Z,BTC/USDT,51469.64117823
2363,2364,790,Pionex,pionex,0.083955340897,536.57093623,1,https://www.pionex.com/en/trade/ETH_BTC/Bot,527.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953106022
2364,2365,37,Bitfinex,bitfinex,0.023833842398,152.09966793,1,https://trading.bitfinex.com/t/ETH:BTC?type=exchange,501.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.78953104929
2365,2366,433,Bitrue,bitrue,0.285305124234,93730332.69,1,https://www.bitrue.com/trade/btc_usdc,546.0,2024-02-21T09:26:29.000Z,BTC/USDC,51455.71372783
2366,2367,433,Bitrue,bitrue,0.442617185713,2824.635904,1,https://www.bitrue.com/trade/eth_btc,528.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953101068
2368,2369,243,BtcTurk | Kripto,btcturk-pro,0.016617210292,169023289.7304972,1,https://kripto.btcturk.com/en/pro/exchange/BTC_TRY,431.0,2024-02-21T09:26:22.000Z,BTC/TRY,52183.65784894
2371,2372,433,Bitrue,bitrue,0.061421127462,391.96924,1,https://www.bitrue.com/trade/wbtc_btc,438.0,2024-02-21T09:26:22.000Z,WBTC/BTC,51457.78953101031
2372,2373,219,Tidex,tidex,0.041464615607,264.61340809,1,https://tidex.com/exchange/eth/btc,458.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.789531068476
2375,2376,440,Cryptology,cryptology,0.037485489587,12314122.09572551,1,https://cryptology.com/app/trading/BTC_USD,397.0,2024-02-21T09:26:22.000Z,BTC/USD,51510.21
2376,2377,564,SecondBTC,secondbtc,0.058399195797,19189408.4233,1,https://secondbtc.com/exchange/{{baseu}-BTC,401.0,2024-02-21T09:26:29.000Z,BTC/USDT,51453.32382822
2379,2380,243,BtcTurk | Kripto,btcturk-pro,0.014827774115,4871144.7528153,1,https://kripto.btcturk.com/en/pro/exchange/BTC_USDT,450.0,2024-02-21T09:26:22.000Z,BTC/USDT,51486.63841783
2382,2383,219,Tidex,tidex,0.699374325055,229754887.50879884,1,https://tidex.com/exchange/btc/usdt,386.0,2024-02-21T09:26:22.000Z,BTC/USDT,51467.64150298
2384,2385,440,Cryptology,cryptology,0.014375115215,4374459.13527665,1,https://cryptology.com/app/trading/BTC_EUR,361.0,2024-02-21T09:26:22.000Z,BTC/EUR,51500.13709543
2393,2394,1138,Bitexen,bitexen,0.012776096893,129956176.7415,1,https://www.bitexen.com/market/advanced/BTC_TRY,381.0,2024-02-21T09:26:22.000Z,BTC/TRY,52039.61716957
2394,2395,219,Tidex,tidex,0.026250782569,8623371.9727786,1,https://tidex.com/exchange/btc/usdc,331.0,2024-02-21T09:26:22.000Z,BTC/USDC,51451.05579595
2406,2407,433,Bitrue,bitrue,0.011956814233,76.417759,1,https://www.bitrue.com/trade/bnb_btc,320.0,2024-02-21T09:26:29.000Z,BNB/BTC,51457.789530609356
2474,2475,594,Bitci TR,bitci,0.025229490313,8290165.42652114,1,https://www.bitci.com.tr/en/exchange/advanced/BTC_USDT,1.0,2024-02-21T09:26:22.000Z,BTC/USDT,51621.63649374
2580,2581,16,Poloniex,poloniex,0.593592312406,195003920.0427912,1,https://poloniex.com/trade/BTC_USDT/?type=spot,483.0,2024-02-21T09:26:29.000Z,BTC/USDT,51447.46477974
2581,2582,857,FMFW.io,bitcoin-com-exchange,0.196923613272,64690135.9444444,1,https://fmfw.io/BTC-to-USD,451.0,2024-02-21T09:26:22.000Z,BTC/USD,51470.03
2582,2583,857,FMFW.io,bitcoin-com-exchange,0.061101848767,20073584.82689242,1,https://fmfw.io/BTC-to-USDC,399.0,2024-02-21T09:26:22.000Z,BTC/USDC,51445.21170072
2583,2584,1601,Bullish,bullish,1.457408585543,478797539.8442,1,https://exchange.bullish.com,407.0,2024-02-21T09:26:22.000Z,BTC/USDC,51446.30560503
2584,2585,1173,LMAX Digital,lmax-digital,1.09003876701,358081770.13982,1,,368.0,2024-02-21T09:26:29.000Z,BTC/USD,51554.923
2585,2586,857,FMFW.io,bitcoin-com-exchange,0.022116602283,141.35045926,1,https://fmfw.io/ETH-to-BTC,425.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.789531084985
2586,2587,1161,BIT,bit-com,0.041276520601,13563063.6911625,1,https://www.bit.com/spot?pair=BTC-USDT,377.0,2024-02-21T09:26:29.000Z,BTC/USDT,51471.32090544
2587,2588,1601,Bullish,bullish,0.592070138752,3784.00736952,1,https://exchange.bullish.com,370.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953100533
2588,2589,1161,BIT,bit-com,0.097913424566,625.77910265,1,https://www.bit.com/spot?pair=ETH-BTC,419.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.789531013346
2589,2590,1601,Bullish,bullish,0.347337406446,114131697.5699139,1,https://exchange.bullish.com,362.0,2024-02-21T09:26:22.000Z,BTC/USDT,51460.16262258
2591,2592,636,Bitsten,bitsten,0.015565611156,5114708.61462174,1,https://exchange.bitsten.com/market/btc_usdt,350.0,2024-02-21T09:26:22.000Z,BTC/USDT,51453.32382822
2593,2594,1173,LMAX Digital,lmax-digital,0.023106295064,7031675.41892,1,,271.0,2024-02-21T09:26:29.000Z,BTC/EUR,51454.59009087
2594,2595,1173,LMAX Digital,lmax-digital,0.014616183615,93.41418,1,,233.0,2024-02-21T09:26:29.000Z,ETH/BTC,51457.789530985916
2607,2608,385,Cryptonex,cryptonex,0.110071599162,36168458.20088,1,https://cryptonex.org/,171.0,2024-02-21T09:26:29.000Z,BTC/USDT,51456.77326802
2616,2617,385,Cryptonex,cryptonex,0.048868137769,1487800201.32,1,https://cryptonex.org/,4.0,2024-02-21T09:26:29.000Z,BTC/RUB,51317.88736205
2622,2623,385,Cryptonex,cryptonex,0.086884460193,26440557.48992,1,https://cryptonex.org/,92.0,2024-02-21T09:26:29.000Z,BTC/EUR,51476.00954374
2637,2638,498,Polyx,polyx,0.04828787099,15866925.31755444,1,https://polyx.net/account/trade/BTC-USDT,99.0,2024-02-21T09:26:29.000Z,BTC/USDT,51531.21117908
2644,2645,385,Cryptonex,cryptonex,0.121646207198,39961229.38236,1,https://cryptonex.org/,1.0,2024-02-21T09:26:29.000Z,BTC/USD,51484.62
2649,2650,1601,Bullish,bullish,0.026079359852,8576218.6296554,1,https://exchange.bullish.com,272.0,2024-02-21T09:26:29.000Z,BTC/PYUSD,51376.15561509
2699,2700,1188,BYDFi,bydfi,0.378585859583,124371096.371,1,https://www.bydfi.com/en/spot/btc_usdt,746.0,2024-02-21T09:26:22.000Z,BTC/USDT,51471.88081451
2700,2701,658,BTSE,btse,0.326305319156,107192505.28119926,1,https://www.btse.com/en/trading/BTC-USD,624.0,2024-02-21T09:26:22.000Z,BTC/USD,51475.8
2701,2702,479,Dcoin,dcoin,0.059068284343,19409264.42,1,https://www.dcoin.com/currencyTrading/BTC_USDT,626.0,2024-02-21T09:26:29.000Z,BTC/USDT,51475.10029165
2702,2703,658,BTSE,btse,0.188950069863,62087157.413078,1,https://www.btse.com/en/trading/BTC-USDT,623.0,2024-02-21T09:26:22.000Z,BTC/USDT,51455.55055897
2703,2704,658,BTSE,btse,0.024910138731,8183644.078932,1,https://www.btse.com/en/trading/BTC-USDC,624.0,2024-02-21T09:26:22.000Z,BTC/USDC,51435.12791245
2704,2705,585,BitStorage,bitstorage,0.015852845223,5209090.9388452,1,https://bitstorage.finance/spot/trading/BTCUSDT,451.0,2024-02-21T09:26:22.000Z,BTC/USDT,51467.65150136
2705,2706,480,Cat.Ex,catex,0.023437934399,7701477.5572114,1,https://www.catex.io/trading/BTC/USDT,504.0,2024-02-21T09:26:29.000Z,BTC/USDT,51455.03355055
2709,2710,658,BTSE,btse,0.013526975583,34752166.205219,1,https://www.btse.com/en/trading/BTC-HKD,622.0,2024-02-21T09:26:29.000Z,BTC/HKD,51455.06135404
2710,2711,658,BTSE,btse,0.013511714372,6768543.449749,1,https://www.btse.com/en/trading/BTC-AUD,410.0,2024-02-21T09:26:29.000Z,BTC/AUD,51420.55897702
2712,2713,658,BTSE,btse,0.0117987349,5244091.949231,1,https://www.btse.com/en/trading/BTC-CAD,410.0,2024-02-21T09:26:29.000Z,BTC/CAD,51447.49861197
2715,2716,658,BTSE,btse,0.011154543794,2906060.810856,1,https://www.btse.com/en/trading/BTC-GBP,410.0,2024-02-21T09:26:29.000Z,BTC/GBP,51439.23209084
2718,2719,658,BTSE,btse,0.011080545935,4892215.081735,1,https://www.btse.com/en/trading/BTC-SGD,410.0,2024-02-21T09:26:29.000Z,BTC/SGD,51445.50481419
2721,2722,480,Cat.Ex,catex,0.01131409905,72.3100717,1,https://www.catex.io/trading/XRP/BTC,416.0,2024-02-21T09:26:29.000Z,XRP/BTC,51457.78942398489
2727,2728,100,YoBit,yobit,0.028805721779,183.82855118,1,https://yobit.net/en/trade/LTC/BTC,174.0,2024-02-21T09:26:29.000Z,LTC/BTC,51457.78953293733
2729,2730,100,YoBit,yobit,0.084678538832,540.39031652,1,https://yobit.net/en/trade/ZEC/BTC,5.0,2024-02-21T09:26:29.000Z,ZEC/BTC,51457.78953549334
2730,2731,100,YoBit,yobit,0.04620941175,294.89312152,1,https://yobit.net/en/trade/DASH/BTC,35.0,2024-02-21T09:26:29.000Z,DASH/BTC,51457.78952839669
2949,2950,42,HitBTC,hitbtc,0.196916899808,64690135.9444444,1,https://hitbtc.com/BTC-to-USDT,571.0,2024-02-21T09:26:22.000Z,BTC/USDT,51461.67247237
2950,2951,487,VinDAX,vindax,0.024595121503,8081717.9979447,1,https://vindax.com/exchange-base.html?symbol=BTC_USDT,621.0,2024-02-21T09:26:29.000Z,BTC/USDT,51484.45877181
2951,2952,42,HitBTC,hitbtc,0.061106874703,20073584.82689242,1,https://hitbtc.com/BTC-to-USDC,516.0,2024-02-21T09:26:22.000Z,BTC/USDC,51445.21170072
2952,2953,42,HitBTC,hitbtc,0.022149453807,141.35045926,1,https://hitbtc.com/ETH-to-BTC,554.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.789531084985
2958,2959,228,BTC-Alpha,btc-alpha,0.50037545573,164380793.55352557,1,https://btc-alpha.com/ru/trade/BTC_USDT,311.0,2024-02-21T09:26:22.000Z,BTC/USDT,51462.24237982
3013,3014,213,Mercatox,mercatox,0.036595793165,233.5422,1,https://mercatox.com/exchange/ETH/BTC,65.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78953108781
3018,3019,213,Mercatox,mercatox,0.010467247845,66.7985,1,https://mercatox.com/exchange/LTC/BTC,1.0,2024-02-21T09:26:22.000Z,LTC/BTC,51457.789530765825
3372,3373,587,IndoEx,indoex,1.84364877007,605805075.830692,1,https://www.indoex.io/trade/BTC_USDT,348.0,2024-02-21T09:26:22.000Z,BTC/USDT,51539.60513231
3373,3374,403,BitForex,bitforex,1.307441474562,429612567.48,1,https://www.bitforex.com/en/spot/btc_usdt,604.0,2024-02-21T09:26:22.000Z,BTC/USDT,51453.64377626
3374,3375,587,IndoEx,indoex,1.049291935327,319319055.1913522,1,https://www.indoex.io/trade/BTC_EUR,348.0,2024-02-21T09:26:22.000Z,BTC/EUR,51538.37361099
3375,3376,587,IndoEx,indoex,1.13742134751,7269.42718357,1,https://www.indoex.io/trade/ETH_BTC,584.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.78538456098
3376,3377,7451,CoinCatch,coincatch,0.056703088392,18632084.007008,1,https://www.coincatch.com/en/markets/futures,621.0,2024-02-21T09:26:29.000Z,BTC/USDT,51476.12012603
3377,3378,587,IndoEx,indoex,0.040111040202,36233.3357486,1,https://www.indoex.io/trade/BTC_BNB,556.0,2024-02-21T09:26:22.000Z,BTC/BNB,51508.16273451
3378,3379,587,IndoEx,indoex,0.021881602944,139.84854391,1,https://www.indoex.io/trade/BCH_BTC,579.0,2024-02-21T09:26:22.000Z,BCH/BTC,51457.81365654413
3379,3380,587,IndoEx,indoex,0.034919661267,223.17669297,1,https://www.indoex.io/trade/TUSD_BTC,504.0,2024-02-21T09:26:22.000Z,TUSD/BTC,51450.03116745906
3380,3381,1128,Changelly PRO,changelly-pro,0.196871723807,64690135.9444444,1,https://pro.changelly.com/btc-to-usdt,421.0,2024-02-21T09:26:22.000Z,BTC/USDT,51461.67247237
3381,3382,7451,CoinCatch,coincatch,0.01051334195,3453912.863688,1,https://www.coincatch.com/en/markets/futures,434.0,2024-02-21T09:26:29.000Z,BTC/USDC,51467.98827795
3384,3385,339,Bibox,bibox,0.016446566553,5404182.0,1,https://www.bibox.com/zh/exchange/basic/BTC_USDT,472.0,2024-02-21T09:26:29.000Z,BTC/USDT,51460.04273705
3385,3386,843,BitHash,bithash,0.013015286984,4275715.7215991,1,https://www.bithash.net/en/exchange/btc/usdt,400.0,2024-02-21T09:26:29.000Z,BTC/USDT,51658.61048906
3387,3388,587,IndoEx,indoex,1.598486459556,525108719.34595245,1,https://www.indoex.io/trade/BTC_USD,813.0,2024-02-21T09:26:22.000Z,BTC/USD,51412.99397943
3388,3389,1128,Changelly PRO,changelly-pro,0.061101848767,20073584.82689242,1,https://pro.changelly.com/btc-to-usdc,378.0,2024-02-21T09:26:22.000Z,BTC/USDC,51445.21170072
3389,3390,403,BitForex,bitforex,0.225713783472,1442.57,1,https://www.bitforex.com/en/spot/eth_btc,348.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.7895310155
3390,3391,1531,NexDAX,nexdax,0.015044377578,4943436.32455,1,https://nexdax.com/exchange-advanced.html?symbol=BTC_USDT,457.0,2024-02-21T09:26:22.000Z,BTC/USDT,51460.30269483
3391,3392,1128,Changelly PRO,changelly-pro,0.022116602283,141.35045926,1,https://pro.changelly.com/eth-to-btc,394.0,2024-02-21T09:26:22.000Z,ETH/BTC,51457.789531084985
3395,3396,587,IndoEx,indoex,0.035394408862,21297698.37658421,1,https://www.indoex.io/trade/BTC_XRP,239.0,2024-02-21T09:26:29.000Z,BTC/XRP,51494.23104014
3399,3400,403,BitForex,bitforex,0.021869313459,139.77,1,https://www.bitforex.com/en/spot/xrp_btc,156.0,2024-02-21T09:26:22.000Z,XRP/BTC,51457.78982092366
3402,3403,468,OceanEx,oceanex,0.012332418253,4052312.83541331,1,https://oceanex.pro/trades/btcusdt,156.0,2024-02-21T09:26:22.000Z,BTC/USDT,51477.22994579
3414,3415,403,BitForex,bitforex,2.28094332225,749350636.5,1,https://www.bitforex.com/en/spot/btc_usdc,1.0,2024-02-21T09:26:22.000Z,BTC/USDC,51477.14421273
3424,3425,403,BitForex,bitforex,0.040355822617,257.92,1,https://www.bitforex.com/en/spot/eos_btc,2.0,2024-02-21T09:26:22.000Z,EOS/BTC,51457.789509078684
3429,3430,403,BitForex,bitforex,0.017275458961,110.41,1,https://www.bitforex.com/en/spot/bch_btc,1.0,2024-02-21T09:26:22.000Z,BCH/BTC,51457.7895317131
3434,3435,403,BitForex,bitforex,0.011849203035,75.73,1,https://www.bitforex.com/en/spot/dash_btc,1.0,2024-02-21T09:26:22.000Z,DASH/BTC,51457.78953723763
3563,3564,908,VALR,valr,0.025038243333,155524680.63927013,1,https://www.valr.com/exchange/BTC/ZAR,,2024-02-21T09:26:22.000Z,BTC/ZAR,52334.35487297
3571,3572,1327,THORChain,thorchain-erc20,0.150283877284,9712350.99316215,1,https://thorchain.org/,,2024-02-21T09:26:29.000Z,BTC/RUNE,51393.22886472
3721,3722,270,Binance,binance,0.013689397407,86.12455413,1,https://www.binance.com/en/trade/XMR_BTC,645.5937771201395,2024-02-20T22:37:13.000Z,XMR/BTC,52180.56285526891
